cc_num,total_transactions,total_spend,avg_transaction_amt,max_single_transaction,unique_categories,spend_tier
6011367958204270,3110,296436.73,95.32,8524.52,14,Premium
4908846471916297,3039,290478.49,95.58,12176.55,14,Premium
6011438889172900,3106,284013.5,91.44,1962.76,14,Premium
36722699017270,3119,280008.05,89.77,1469.33,14,Premium
6011893664860915,3090,278325.97,90.07,8217.23,14,Premium
6011109736646996,3101,278139.27,89.69,2976.41,14,Premium
3583635130604947,3026,278042.99,91.88,2447.75,14,Premium
2712209726293386,3064,277085.65,90.43,7486.04,14,Premium
4836998673805450,3027,275930.63,91.16,5160.64,14,Premium
372509258176510,3054,275889.68,90.34,10469.09,14,Premium
180048185037117,3080,274019.88,88.97,2004.44,14,Premium
344709867813900,3027,273723.12,90.43,1510.15,14,Premium
3590736522064285,3081,273162.27,88.66,3729.41,14,Premium
180094419304907,3026,272866.42,90.17,2415.54,14,Premium
3566094707272327,3034,272468.9,89.81,1679.89,14,Premium
213141712584544,3046,271661.15,89.19,2123.7,14,Premium
3521417320836166,3032,270698.48,89.28,1536.26,14,Premium
6538891242532018,3072,269099.47,87.6,1707.05,14,Premium
4792627764422477317,3082,260008.37,84.36,1804.27,14,Premium
4939976756738216,3038,258282.59,85.02,1461.89,14,Premium
3576431665303017,3023,256768.11,84.94,1855.18,14,Premium
3551217896304745,3055,254989.34,83.47,1797.22,14,Premium
213157767990030,2562,240020.21,93.68,2175.59,14,Premium
3586008444788268,2602,238545.08,91.68,6972.53,14,Premium
4646845581490336108,2582,237516.52,91.99,2299.61,14,Premium
180031190491743,2539,236038.18,92.97,2764.26,14,Premium
3531129874770000,2530,232098.45,91.74,2065.96,14,Premium
3518234918950662,2590,231510.73,89.39,1793.41,14,Premium
3598215285024754,2577,230738.38,89.54,2266.04,14,Premium
4745996322265,2922,230041.75,78.73,9931.82,14,Premium
4681601008538160,2564,225624.2,88.0,4758.79,14,Premium
30131826429364,2587,225139.35,87.03,2592.35,14,Premium
4861310130652566408,2524,224708.15,89.03,2978.18,14,Premium
373905417449658,2562,224174.34,87.5,2228.7,14,Premium
30551643947183,2585,223866.0,86.6,1978.05,14,Premium
6011724471098086,2572,223854.66,87.04,1155.69,14,Premium
346273234529002,2599,223440.82,85.97,2855.53,14,Premium
30044330818990,2524,222480.84,88.15,1471.85,14,Premium
6538441737335434,2918,221146.62,75.79,17897.24,14,Premium
30199621383748,2564,216981.43,84.63,1675.94,14,Premium
4586810168620942,2918,216379.45,74.15,1334.07,14,Premium
36913587729122,2498,215804.74,86.39,3370.53,14,Premium
30273037698427,2949,214442.24,72.72,1234.22,14,Premium
567868110212,2558,213039.8,83.28,2713.44,14,Premium
372520049757633,2973,211808.75,71.24,1834.62,14,Premium
370877495212014,2572,211302.71,82.16,1587.33,14,Premium
4587657402165341815,2915,209256.44,71.79,1224.1,14,Premium
2242542703101233,2949,209016.52,70.88,1228.27,14,Premium
376028110684021,2050,204477.6,99.75,900.06,14,Premium
4301028321766222513,2054,204042.4,99.34,1007.57,14,Premium
4223708906367574214,2082,203267.53,97.63,1140.22,14,Premium
38199021865320,2097,202428.03,96.53,1148.2,14,Premium
3559160581764413,2049,199987.45,97.6,1041.04,14,Premium
4841313716651064,2051,199435.8,97.24,1094.14,14,Premium
4149238353975790,2074,199199.35,96.05,989.31,14,Premium
4855488158131690372,2045,198115.34,96.88,1229.99,14,Premium
30428204673351,2033,198108.02,97.45,1090.18,14,Premium
4683638447911,2051,197587.1,96.34,909.75,14,Premium
180011453250192,2065,197492.15,95.64,627.69,14,Premium
4451952084362894,2042,197432.96,96.69,1146.99,14,Premium
4457732997086323466,2049,197280.23,96.28,1214.39,14,Premium
4446368897795790,2068,197223.88,95.37,1036.05,14,Premium
213193596103206,2073,196300.0,94.69,853.5,14,Premium
3534330126107879,2080,196094.17,94.28,598.36,14,Premium
4873783502705038,2038,194213.18,95.3,2992.76,14,Premium
2720012583106919,2024,193805.47,95.75,899.63,14,Premium
6506116513503136,2102,193561.46,92.08,1225.41,14,Premium
180049032966888,2093,192657.95,92.05,836.07,14,Premium
375534208663984,2017,191974.21,95.18,655.45,14,Premium
571365235126,3123,191918.03,61.45,3413.05,14,Premium
4997733566924489,2062,191617.84,92.93,2132.9,14,Premium
630451534402,3074,190975.99,62.13,14630.68,14,Premium
30026790933302,2035,189228.01,92.99,637.45,14,Premium
630484879808,2003,188061.88,93.89,820.01,14,Premium
3577578023716568,2025,187828.36,92.75,9999.39,14,Premium
3500969075198072,2458,187818.27,76.41,1395.29,14,Premium
676102124465,2091,187586.22,89.71,2399.45,14,Premium
30030380240193,2024,187286.11,92.53,1047.73,14,Premium
30074693890476,2057,185726.19,90.29,1746.85,14,Premium
571465035400,2009,184945.6,92.06,1195.5,14,Premium
4642255475285942,3040,184672.82,60.75,4344.87,14,Premium
30197398657930,2071,184672.54,89.17,1769.52,14,Premium
342952484382519,3090,184162.8,59.6,8266.86,14,Premium
2252055259910912,2024,184011.25,90.91,861.45,14,Premium
3596217206093829,3051,183914.73,60.28,2326.12,14,Premium
5540636818935089,2597,181682.84,69.96,25086.94,14,Premium
4998109455173950,2045,181476.8,88.74,1650.57,14,Premium
345933964507467,3077,181391.83,58.95,4246.28,14,Premium
4514242065619750,2021,180762.9,89.44,1934.26,14,Premium
4069975342931683,2047,179963.32,87.92,3396.63,14,Premium
630424987505,3099,179584.45,57.95,4772.77,14,Premium
213112402583773,3117,179368.37,57.55,8255.19,14,Premium
4904681492230012,3095,178563.56,57.69,4951.14,14,Premium
3575789281659026,3087,177763.42,57.58,3539.85,14,Premium
4003989662068504,2553,177737.56,69.62,10525.07,14,Premium
3541160328600277,2456,177365.62,72.22,1423.84,14,Premium
2703186189652095,2028,177233.44,87.39,2181.32,14,Premium
4099707841315751,2619,175029.62,66.83,12025.3,14,Premium
4512828414983801773,3123,172868.53,55.35,4304.22,14,Premium
6011652924285713,3045,170856.34,56.11,7470.87,14,Premium
4809701904914,2002,170757.85,85.29,1524.46,14,Premium
3560797065840735,3056,170000.95,55.63,4026.86,14,Premium
376445266762684,3061,169807.22,55.47,3176.51,14,Premium
4560395181594436016,1996,169340.86,84.84,2054.05,14,Premium
30238755902988,3071,169032.61,55.04,4403.24,14,Premium
3553629419254918,3088,168068.03,54.43,3123.66,14,Premium
213156747557083,2603,167152.2,64.22,3923.46,14,Premium
6011504998544485,3083,165741.18,53.76,1857.08,14,Premium
2264937662466770,2558,164891.56,64.46,15047.03,14,Premium
30270432095985,3006,164394.46,54.69,2910.18,14,Premium
2720433095629877,3107,164002.26,52.78,3136.33,14,Premium
630423337322,3030,163466.44,53.95,3026.86,14,Premium
6534628260579800,3112,163214.11,52.45,4522.11,14,Premium
3589255887819806,2519,163202.61,64.79,3878.7,14,Premium
4464457352619,2572,162263.25,63.09,8981.87,14,Premium
4561546772499,2554,161994.27,63.43,5695.02,14,Premium
374930071163758,2548,159819.61,62.72,4084.34,14,Premium
4956828990005111019,2566,159818.53,62.28,3988.81,14,Premium
4755696071492,2591,159036.96,61.38,6136.65,14,Premium
4170689372027579,2561,158570.9,61.92,3415.15,14,Premium
4716561796955522,3074,158245.1,51.48,2684.48,14,Premium
3589289942931264,2553,157789.09,61.81,3710.15,14,Premium
3511378610369890,2523,157566.0,62.45,4785.45,14,Premium
4681699462969,2576,156983.7,60.94,4051.62,14,Premium
503874407318,2565,156604.7,61.05,3433.99,14,Premium
4040099974063068803,1535,156415.83,101.9,1188.86,14,Premium
2254917871818484,2578,156237.03,60.6,3877.5,14,Premium
639023984367,2562,156000.51,60.89,10881.08,14,Premium
581293083266,1559,155847.0,99.97,1111.45,14,Premium
377026671291680,2530,155522.84,61.47,4950.99,14,Premium
4777065439639721,1566,155379.37,99.22,1118.84,14,Premium
3502088871723054,2564,155348.79,60.59,4591.7,14,Premium
4979422371139333,2050,153552.58,74.9,28948.9,14,Premium
4181833256558613886,2578,153292.77,59.46,2359.2,14,Premium
4900628639996,2568,152881.76,59.53,2979.65,14,Premium
30235438713303,2551,152727.3,59.87,3711.76,14,Premium
3525590521269779,2555,152213.74,59.57,5816.67,14,Premium
4613314721966,1513,151777.39,100.32,1254.27,14,Premium
38797410705641,1548,151347.42,97.77,976.64,14,Premium
